#---------------------------- KTU 1.23 1
147097	iqra	iqra
147098	ilm	ilm
147099	nʿmm	nʿmm
#---------------------------- KTU 1.23 2
147100	w	w
147101	ysmm	ysmm
147102	bn	bn
147103	šp	šp
#---------------------------- KTU 1.23 3
147104	ytnm	ytnm
147105	qrt	qrt
147106	l	l
147107	ʿly	ʿly
#---------------------------- KTU 1.23 4
147108	b	b
147109	mdbr	mdbr
147110	špm	špm
147111	ydr	ydr
#---------------------------- KTU 1.23 5
147112	l	l
147113	rišhm	rišhm
147114	w	w
147115	yšxm	yšxm
#---------------------------- KTU 1.23 6
147116	lḥm	lḥm
147117	b	b
147118	lḥm	lḥm
147119	ay	ay
147120	w	w
147121	šty	šty
147122	b	b
147123	ḫmr	ḫmr
147124	yn	yn
147125	ay	ay
#---------------------------- KTU 1.23 7
147126	šlm	šlm
147127	mlk	mlk
147128	šlm	šlm
147129	mlkt	mlkt
147130	ʿrbm	ʿrbm
147131	w	w
147132	ṯnnm	ṯnnm
#---------------------------- KTU 1.23 8
147133	mt	mt
147134	w	w
147135	šr	šr
147136	yṯb	yṯb
147137	bdh	bdh
147138	ḫṭ	ḫṭ
147139	ṯkl	ṯkl
147140	bdh	bdh
#---------------------------- KTU 1.23 9
147141	ḫṭ	ḫṭ
147142	ulmn	ulmn
147143	yzbrnn	yzbrnn
147144	zbrm	zbrm
147145	gpn	gpn
#---------------------------- KTU 1.23 10
147146	yṣmdnn	yṣmdnn
147147	ṣmdm	ṣmdm
147148	gpn	gpn
147149	yšql	yšql
147150	šdmth	šdmth
#---------------------------- KTU 1.23 11
147151	km	km
147152	gpn	gpn
#---------------------------- KTU 1.23 12
147153	šbʿd	šbʿd
147154	yrgm	yrgm
147155	ʿl	ʿl
147156	ʿd	ʿd
147157	w	w
147158	ʿrbm	ʿrbm
147159	tʿnyn	tʿnyn
#---------------------------- KTU 1.23 13
147160	w	w
147161	šd	šd
147162	šd	šd
147163	ilm	ilm
147164	šd	šd
147165	aṯrt	aṯrt
147166	w	w
147167	rḥmy	rḥmy
#---------------------------- KTU 1.23 14
147168	ʿl	ʿl
147169	išt	išt
147170	šbʿd	šbʿd
147171	ġzrmṭbg	ġzrmṭbg
147172	ṭb	ṭb
147173	gd	gd
147174	b	b
147175	ḥlb	ḥlb
147176	annḫ	annḫ
147177	bḫmat	bḫmat
#---------------------------- KTU 1.23 15
147178	w	w
147179	ʿl	ʿl
147180	agn	agn
147181	šbʿdm	šbʿdm
147182	dġṯt	dġṯt
147183	dġṯt	dġṯt
#---------------------------- KTU 1.23 16
147184	tlkm	tlkm
147185	rḥmy	rḥmy
147186	w	w
147187	tṣd	tṣd
#---------------------------- KTU 1.23 17
147188	tḥgrn	tḥgrn
147189	ġzr	ġzr
147190	nʿm	nʿm
147191		
#---------------------------- KTU 1.23 18
147192	w	w
147193	šm	šm
147194	ʿrbm	ʿrbm
147195	yr	yr
#---------------------------- KTU 1.23 19
147196	mṯbt	mṯbt
147197	ilm	ilm
147198	ṯmn	ṯmn
147199	ṯ	ṯ
#---------------------------- KTU 1.23 20
147200	pamt	pamt
147201	šbʿ	šbʿ
#---------------------------- KTU 1.23 21
147202	iqnu	iqnu
147203	šmt	šmt
#---------------------------- KTU 1.23 22
147204	ṯn	ṯn
147205	šrm	šrm
147206		
#---------------------------- KTU 1.23 23
147207	iqran	iqran
147208	ilm	ilm
147209	nʿmm	nʿmm
147210	agzrym	agzrym
147211	bnym	bnym
#---------------------------- KTU 1.23 24
147212	ynqm	ynqm
147213	b	b
147214	ap	ap
147215	zd	zd
147216	aṯrt	aṯrt
147217		
#---------------------------- KTU 1.23 25
147218	špš	špš
147219	mṣprt	mṣprt
147220	dlthm	dlthm
#---------------------------- KTU 1.23 26
147221	w	w
147222	ġnbm	ġnbm
147223	šlm	šlm
147224	ʿrbm	ʿrbm
147225	ṯnnm	ṯnnm
#---------------------------- KTU 1.23 27
147226	hlkm	hlkm
147227	b	b
147228	dbḥ	dbḥ
147229	nʿmt	nʿmt
#---------------------------- KTU 1.23 28
147230	šd	šd
147231	ilm	ilm
147232	šd	šd
147233	aṯrt	aṯrt
147234	w	w
147235	rḥmy	rḥmy
#---------------------------- KTU 1.23 29
147236	ilm	ilm
147237	yṯb	yṯb
#---------------------------- KTU 1.23 30
147238	xxk	xxk
147239	l	l
147240	gp	gp
147241	ym	ym
147242	w	w
147243	yṣġd	yṣġd
147244	gp	gp
147245	thm	thm
#---------------------------- KTU 1.23 31
147246	xxx	xxx
147247	x	x
147248	il	il
147249	mštʿltm	mštʿltm
147250	mštʿltm	mštʿltm
147251	l	l
147252	riš	riš
147253	agn	agn
#---------------------------- KTU 1.23 32
147254	hlh	hlh
147255	tšpl	tšpl
147256	hlh	hlh
147257	trm	trm
147258	hlh	hlh
147259	tṣḥ	tṣḥ
147260	ad	ad
147261	ad	ad
#---------------------------- KTU 1.23 33
147262	w	w
147263	hlh	hlh
147264	tṣḥ	tṣḥ
147265	um	um
147266	um	um
147267	tirkm	tirkm
147268	yd	yd
147269	il	il
147270	k	k
147271	ym	ym
#---------------------------- KTU 1.23 34
147272	w	w
147273	yd	yd
147274	il	il
147275	k	k
147276	mdb	mdb
147277	ark	ark
147278	yd	yd
147279	il	il
147280	k	k
147281	ym	ym
#---------------------------- KTU 1.23 35
147282	w	w
147283	yd	yd
147284	il	il
147285	k	k
147286	mdb	mdb
147287	yqḥ	yqḥ
147288	il	il
147289	mštʿltm	mštʿltm
#---------------------------- KTU 1.23 36
147290	mštʿltm	mštʿltm
147291	l	l
147292	riš	riš
147293	agn	agn
147294	yqḥ	yqḥ
147295	yšt	yšt
147296	b	b
147297	bth	bth
#---------------------------- KTU 1.23 37
147298	il	il
147299	ḫṭh	ḫṭh
147300	nḥt	nḥt
147301	il	il
147302	ymnn	ymnn
147303	mṭ	mṭ
147304	ydh	ydh
147305	yšu	yšu
#---------------------------- KTU 1.23 38
147306	yr	yr
147307	šmmh	šmmh
147308	yr	yr
147309	b	b
147310	šmm	šmm
147311	ʿṣr	ʿṣr
147312	yḫrṭ	yḫrṭ
147313	yšt	yšt
#---------------------------- KTU 1.23 39
147314	l	l
147315	pḥm	pḥm
147316	il	il
147317	aṯtm	aṯtm
147318	k	k
147319	ypt	ypt
147320	hm	hm
147321	aṯtm	aṯtm
147322	tṣḥn	tṣḥn
#---------------------------- KTU 1.23 40
147323	y	y
147324	mt	mt
147325	mt	mt
147326	nḥtm	nḥtm
147327	ḫṭk	ḫṭk
147328	mmnnm	mmnnm
147329	mṭ	mṭ
147330	ydk	ydk
#---------------------------- KTU 1.23 41
